NAME,pop,tract_fire_counts,geoid
"Census Tract 13.01, Fresno County, California",5327,32,06019001301
"Census Tract 13.01, Tulare County, California",8418,32,06107001301
"Census Tract 13.01, Ventura County, California",7889,32,06111001301
"Census Tract 15.01, Merced County, California",2585,21,06047001501
"Census Tract 15.01, Tulare County, California",5398,21,06107001501
"Census Tract 15.01, Orange County, California",6096,21,06059001501
"Census Tract 15.01, San Bernardino County, California",4142,21,06071001501
"Census Tract 314.05, El Dorado County, California",2396,5,06017031405
"Census Tract 315.04, El Dorado County, California",5678,8,06017031504
"Census Tract 306.01, El Dorado County, California",5270,14,06017030601
"Census Tract 306.01, Riverside County, California",5493,14,06065030601
"Census Tract 309.02, El Dorado County, California",4781,9,06017030902
"Census Tract 313.02, El Dorado County, California",4858,140,06017031302
"Census Tract 313.02, San Francisco County, California",6198,140,06075031302
"Census Tract 302, El Dorado County, California",5146,15,06017030200
"Census Tract 302, Riverside County, California",4332,15,06065030200
"Census Tract 309.01, El Dorado County, California",3261,8,06017030901
"Census Tract 314.02, El Dorado County, California",6067,294,06017031402
"Census Tract 314.02, Riverside County, California",7353,294,06065031402
"Census Tract 310, El Dorado County, California",5908,1,06017031000
"Census Tract 310, San Francisco County, California",3520,1,06075031000
"Census Tract 2004, Napa County, California",4127,5,06055200400
"Census Tract 2009, Napa County, California",722,2,06055200900
"Census Tract 69, Sacramento County, California",4626,110,06067006900
"Census Tract 69, Fresno County, California",3488,110,06019006900
"Census Tract 69, Ventura County, California",4049,110,06111006900
"Census Tract 69, San Diego County, California",5762,110,06073006900
"Census Tract 82.10, Sacramento County, California",5908,2,06067008210
"Census Tract 42.02, Sacramento County, California",6259,1,06067004202
"Census Tract 42.02, San Bernardino County, California",6154,1,06071004202
"Census Tract 42.02, San Joaquin County, California",1635,1,06077004202
"Census Tract 2, Sacramento County, California",3824,12999,06067000200
"Census Tract 2, Mariposa County, California",2827,12999,06043000200
"Census Tract 2, Modoc County, California",1520,12999,06049000200
"Census Tract 2, Humboldt County, California",5496,12999,06023000200
"Census Tract 2, Kings County, California",2326,12999,06031000200
"Census Tract 2, Siskiyou County, California",1782,12999,06093000200
"Census Tract 2, Kern County, California",7870,12999,06029000200
"Census Tract 2, Colusa County, California",5128,12999,06011000200
"Census Tract 2, Monterey County, California",7500,12999,06053000200
"Census Tract 2, Santa Barbara County, California",4314,12999,06083000200
"Census Tract 2, San Benito County, California",6205,12999,06069000200
"Census Tract 2, Mono County, California",8091,12999,06051000200
"Census Tract 2, Tehama County, California",7610,12999,06103000200
"Census Tract 2, Ventura County, California",2602,12999,06111000200
"Census Tract 2, Trinity County, California",2024,12999,06105000200
"Census Tract 2, Nevada County, California",2849,12999,06057000200
"Census Tract 2, Fresno County, California",2870,12999,06019000200
"Census Tract 2, Inyo County, California",1773,12999,06027000200
"Census Tract 2, Amador County, California",4703,12999,06005000200
"Census Tract 4, Sacramento County, California",3851,23402,06067000400
"Census Tract 4, Santa Barbara County, California",5348,23402,06083000400
"Census Tract 4, Mariposa County, California",1717,23402,06043000400
"Census Tract 4, Modoc County, California",1081,23402,06049000400
"Census Tract 4, Lake County, California",5419,23402,06033000400
"Census Tract 4, Ventura County, California",6293,23402,06111000400
"Census Tract 4, Siskiyou County, California",584,23402,06093000400
"Census Tract 4, Kern County, California",4358,23402,06029000400
"Census Tract 4, Colusa County, California",2205,23402,06011000400
"Census Tract 4, Monterey County, California",8489,23402,06053000400
"Census Tract 4, San Benito County, California",6368,23402,06069000400
"Census Tract 4, Tehama County, California",5766,23402,06103000400
"Census Tract 4, Plumas County, California",2782,23402,06063000400
"Census Tract 4, San Diego County, California",3758,23402,06073000400
"Census Tract 4, Calaveras County, California",2871,23402,06009000400
"Census Tract 4, Trinity County, California",846,23402,06105000400
"Census Tract 4, Humboldt County, California",4105,23402,06023000400
"Census Tract 4, Madera County, California",1377,23402,06039000400
"Census Tract 4, Inyo County, California",5741,23402,06027000400
"Census Tract 4, Fresno County, California",5958,23402,06019000400
"Census Tract 42.03, Sacramento County, California",5618,1,06067004203
"Census Tract 42.03, San Joaquin County, California",4089,1,06077004203
"Census Tract 43, Sacramento County, California",9159,427,06067004300
"Census Tract 43, San Diego County, California",3937,427,06073004300
"Census Tract 43, Tulare County, California",7487,427,06107004300
"Census Tract 52.02, Sacramento County, California",3642,17,06067005202
"Census Tract 52.02, Fresno County, California",3220,17,06019005202
"Census Tract 52.02, Ventura County, California",2632,17,06111005202
"Census Tract 52.02, San Joaquin County, California",7389,17,06077005202
"Census Tract 6702.02, Los Angeles County, California",2562,362,06037670202
"Census Tract 8001.01, Los Angeles County, California",5647,11,06037800101
"Census Tract 5300.04, Los Angeles County, California",3703,2,06037530004
"Census Tract 5032.04, Santa Clara County, California",8414,1,06085503204
"Census Tract 104, Shasta County, California",4205,15,06089010400
"Census Tract 104, Humboldt County, California",3619,15,06023010400
"Census Tract 104, Glenn County, California",7327,15,06021010400
"Census Tract 104, San Francisco County, California",4430,15,06075010400
"Census Tract 104, Mendocino County, California",3227,15,06045010400
"Census Tract 104, Monterey County, California",6686,15,06053010400
"Census Tract 104, Imperial County, California",7125,15,06025010400
"Census Tract 111, Shasta County, California",3126,246,06089011100
"Census Tract 111, Humboldt County, California",4423,246,06023011100
"Census Tract 111, San Diego County, California",4529,246,06073011100
"Census Tract 111, San Francisco County, California",4778,246,06075011100
"Census Tract 111, Imperial County, California",3825,246,06025011100
"Census Tract 122, Shasta County, California",5937,9,06089012200
"Census Tract 122, Monterey County, California",2621,9,06053012200
"Census Tract 122, San Diego County, California",3557,9,06073012200
"Census Tract 122, Imperial County, California",7133,9,06025012200
"Census Tract 122, San Luis Obispo County, California",7260,9,06079012200
"Census Tract 122, San Bernardino County, California",19699,9,06071012200
"Census Tract 126.01, Shasta County, California",4970,4055,06089012601
"Census Tract 126.01, San Francisco County, California",2630,4055,06075012601
"Census Tract 127.02, Shasta County, California",2731,2456,06089012702
"Census Tract 127.02, San Luis Obispo County, California",6852,2456,06079012702
"Census Tract 105, Shasta County, California",5607,6,06089010500
"Census Tract 105, Mendocino County, California",4642,6,06045010500
"Census Tract 105, Imperial County, California",7530,6,06025010500
"Census Tract 105, San Francisco County, California",2932,6,06075010500
"Census Tract 116, Shasta County, California",3833,223,06089011600
"Census Tract 116, San Bernardino County, California",8282,223,06071011600
"Census Tract 116, Mendocino County, California",5684,223,06045011600
"Census Tract 116, Imperial County, California",5837,223,06025011600
"Census Tract 116, San Luis Obispo County, California",4033,223,06079011600
"Census Tract 116, Humboldt County, California",3545,223,06023011600
"Census Tract 119, Shasta County, California",4381,323,06089011900
"Census Tract 119, Monterey County, California",4087,323,06053011900
"Census Tract 119, Imperial County, California",11205,323,06025011900
"Census Tract 119, San Bernardino County, California",2932,323,06071011900
"Census Tract 123.01, Shasta County, California",2649,102,06089012301
"Census Tract 123.01, Imperial County, California",4944,102,06025012301
"Census Tract 123.01, San Francisco County, California",2116,102,06075012301
"Census Tract 123.02, Shasta County, California",5361,362,06089012302
"Census Tract 123.02, Monterey County, California",2089,362,06053012302
"Census Tract 123.02, San Diego County, California",1649,362,06073012302
"Census Tract 123.02, Imperial County, California",5694,362,06025012302
"Census Tract 123.02, San Luis Obispo County, California",4940,362,06079012302
"Census Tract 123.02, San Francisco County, California",2621,362,06075012302
"Census Tract 109, Shasta County, California",4236,131,06089010900
"Census Tract 109, Monterey County, California",8882,131,06053010900
"Census Tract 109, San Francisco County, California",4510,131,06075010900
"Census Tract 109, Mendocino County, California",4951,131,06045010900
"Census Tract 109, San Diego County, California",2078,131,06073010900
"Census Tract 109, Imperial County, California",7666,131,06025010900
"Census Tract 123.03, Shasta County, California",3915,5,06089012303
"Census Tract 123.03, San Diego County, California",3383,5,06073012303
"Census Tract 124, Shasta County, California",3810,9499,06089012400
"Census Tract 124, Imperial County, California",919,9499,06025012400
"Census Tract 124, San Bernardino County, California",3282,9499,06071012400
"Census Tract 113, Shasta County, California",4873,1246,06089011300
"Census Tract 113, San Diego County, California",2775,1246,06073011300
"Census Tract 113, Yolo County, California",9110,1246,06113011300
"Census Tract 113, Orange County, California",5216,1246,06059011300
"Census Tract 113, Mendocino County, California",5799,1246,06045011300
"Census Tract 113, Imperial County, California",11979,1246,06025011300
"Census Tract 113, San Luis Obispo County, California",7669,1246,06079011300
"Census Tract 113, San Bernardino County, California",1172,1246,06071011300
"Census Tract 113, San Francisco County, California",3046,1246,06075011300
"Census Tract 125, Shasta County, California",1623,7879,06089012500
"Census Tract 125, San Bernardino County, California",5003,7879,06071012500
"Census Tract 120, Shasta County, California",4671,2,06089012000
"Census Tract 120, Monterey County, California",4111,2,06053012000
"Census Tract 120, San Luis Obispo County, California",7890,2,06079012000
"Census Tract 120, San Francisco County, California",3993,2,06075012000
"Census Tract 127.01, Shasta County, California",4929,1340,06089012701
"Census Tract 107.02, Shasta County, California",3618,78,06089010702
"Census Tract 107.02, Monterey County, California",3348,78,06053010702
"Census Tract 102, Shasta County, California",2464,680,06089010200
"Census Tract 102, San Francisco County, California",4299,680,06075010200
"Census Tract 102, Humboldt County, California",2611,680,06023010200
"Census Tract 102, Glenn County, California",4787,680,06021010200
"Census Tract 102, Mendocino County, California",3750,680,06045010200
"Census Tract 102, San Diego County, California",7263,680,06073010200
"Census Tract 102, Imperial County, California",2995,680,06025010200
"Census Tract 115, Shasta County, California",5609,4445,06089011500
"Census Tract 115, Yolo County, California",5883,4445,06113011500
"Census Tract 115, Mendocino County, California",6490,4445,06045011500
"Census Tract 115, San Bernardino County, California",2169,4445,06071011500
"Census Tract 115, Imperial County, California",6148,4445,06025011500
"Census Tract 115, Humboldt County, California",3029,4445,06023011500
"Census Tract 2506.01, Solano County, California",5571,1,06095250601
"Census Tract 25, Sacramento County, California",1551,761,06067002500
"Census Tract 25, Butte County, California",5568,761,06007002500
"Census Tract 25, Kern County, California",9152,761,06029002500
"Census Tract 25, Tulare County, California",4413,761,06107002500
"Census Tract 25, Ventura County, California",5001,761,06111002500
"Census Tract 25, Merced County, California",2258,761,06047002500
"Census Tract 36, Sacramento County, California",2821,469,06067003600
"Census Tract 36, Kern County, California",4391,469,06029003600
"Census Tract 36, Butte County, California",4250,469,06007003600
"Census Tract 36, Fresno County, California",4368,469,06019003600
"Census Tract 40.04, Sacramento County, California",6172,6,06067004004
"Census Tract 40.04, San Bernardino County, California",5746,6,06071004004
"Census Tract 76.01, Sacramento County, California",6699,1,06067007601
"Census Tract 76.01, San Bernardino County, California",7497,1,06071007601
"Census Tract 64, Sacramento County, California",5686,1,06067006400
"Census Tract 64, Ventura County, California",6466,1,06111006400
"Census Tract 74.17, Sacramento County, California",3254,1,06067007417
"Census Tract 72.02, Sacramento County, California",4120,25,06067007202
"Census Tract 72.02, Fresno County, California",5275,25,06019007202
"Census Tract 72.02, Ventura County, California",4176,25,06111007202
"Census Tract 117, Monterey County, California",3830,2203,06053011700
"Census Tract 117, San Francisco County, California",1768,2203,06075011700
"Census Tract 117, Mendocino County, California",4269,2203,06045011700
"Census Tract 117, San Diego County, California",6112,2203,06073011700
"Census Tract 117, Imperial County, California",5358,2203,06025011700
"Census Tract 117, San Bernardino County, California",1548,2203,06071011700
"Census Tract 101.02, Monterey County, California",3615,3397,06053010102
"Census Tract 101.02, Humboldt County, California",2423,3397,06023010102
"Census Tract 101.02, Yolo County, California",7637,3397,06113010102
"Census Tract 101.02, Imperial County, California",4197,3397,06025010102
"Census Tract 101.02, San Luis Obispo County, California",7194,3397,06079010102
"Census Tract 111.02, Monterey County, California",12103,80,06053011102
"Census Tract 111.02, Yolo County, California",5279,80,06113011102
"Census Tract 111.02, San Luis Obispo County, California",5382,80,06079011102
"Census Tract 111.02, Orange County, California",4390,80,06059011102
"Census Tract 111.02, San Bernardino County, California",1846,80,06071011102
"Census Tract 111.02, Mendocino County, California",4165,80,06045011102
"Census Tract 112.02, Monterey County, California",7326,2,06053011202
"Census Tract 112.02, Imperial County, California",5511,2,06025011202
"Census Tract 111.01, Monterey County, California",5837,440,06053011101
"Census Tract 111.01, Yolo County, California",3341,440,06113011101
"Census Tract 111.01, San Luis Obispo County, California",3433,440,06079011101
"Census Tract 111.01, San Bernardino County, California",3277,440,06071011101
"Census Tract 111.01, Orange County, California",4457,440,06059011101
"Census Tract 127, Monterey County, California",3527,42,06053012700
"Census Tract 127, San Francisco County, California",4027,42,06075012700
"Census Tract 127, San Diego County, California",5083,42,06073012700
"Census Tract 127, San Bernardino County, California",3841,42,06071012700
"Census Tract 143.02, Monterey County, California",4319,2,06053014302
"Census Tract 8, Monterey County, California",5743,15168,06053000800
"Census Tract 8, Humboldt County, California",5376,15168,06023000800
"Census Tract 8, Kings County, California",4878,15168,06031000800
"Census Tract 8, Ventura County, California",8556,15168,06111000800
"Census Tract 8, Siskiyou County, California",3558,15168,06093000800
"Census Tract 8, Butte County, California",5647,15168,06007000800
"Census Tract 8, Madera County, California",6395,15168,06039000800
"Census Tract 8, Kern County, California",5221,15168,06029000800
"Census Tract 8, Sacramento County, California",1699,15168,06067000800
"Census Tract 8, Tehama County, California",4315,15168,06103000800
"Census Tract 8, San Diego County, California",5026,15168,06073000800
