NAME,pop,tract_fire_counts,geoid
"Census Tract 9, Nevada County, California",3686,544,06057000900
"Census Tract 9, Santa Barbara County, California",3686,544,06083000900
"Census Tract 9, San Joaquin County, California",5813,544,06077000900
"Census Tract 13, Lake County, California",7451,320,06033001300
"Census Tract 13, Butte County, California",3952,320,06007001300
"Census Tract 13, Kings County, California",5005,320,06031001300
"Census Tract 13, San Joaquin County, California",4988,320,06077001300
"Census Tract 13, Stanislaus County, California",5446,320,06099001300
"Census Tract 13, Sacramento County, California",3175,320,06067001300
"Census Tract 13, Monterey County, California",2565,320,06053001300
"Census Tract 13, San Diego County, California",6329,320,06073001300
"Census Tract 13, Kern County, California",7926,320,06029001300
"Census Tract 13, Humboldt County, California",1377,320,06023001300
"Census Tract 11, Lake County, California",2990,324,06033001100
"Census Tract 11, Kings County, California",6999,324,06031001100
"Census Tract 11, Siskiyou County, California",1889,324,06093001100
"Census Tract 11, Tuolumne County, California",3785,324,06109001100
"Census Tract 11, Butte County, California",4205,324,06007001100
"Census Tract 11, San Diego County, California",3238,324,06073001100
"Census Tract 11, Tehama County, California",7749,324,06103001100
"Census Tract 11, Stanislaus County, California",4149,324,06099001100
"Census Tract 11, Tulare County, California",7088,324,06107001100
"Census Tract 11, Fresno County, California",2760,324,06019001100
"Census Tract 312, El Dorado County, California",5476,2,06017031200
"Census Tract 312, Riverside County, California",7130,2,06065031200
"Census Tract 313.01, El Dorado County, California",3490,18,06017031301
"Census Tract 313.01, San Francisco County, California",4510,18,06075031301
"Census Tract 305.02, El Dorado County, California",2693,8,06017030502
"Census Tract 305.02, Riverside County, California",2092,8,06065030502
"Census Tract 308.01, El Dorado County, California",4667,1,06017030801
"Census Tract 314.06, El Dorado County, California",5438,31,06017031406
"Census Tract 315.03, El Dorado County, California",2534,3,06017031503
"Census Tract 306.02, El Dorado County, California",7256,598,06017030602
"Census Tract 306.02, Riverside County, California",3281,598,06065030602
"Census Tract 306.03, El Dorado County, California",3337,4215,06017030603
"Census Tract 306.03, Riverside County, California",3140,4215,06065030603
"Census Tract 308.04, El Dorado County, California",6764,4,06017030804
"Census Tract 100.15, San Diego County, California",3079,19,06073010015
"Census Tract 100.15, San Bernardino County, California",6101,19,06071010015
"Census Tract 100.01, San Diego County, California",4299,1,06073010001
"Census Tract 105.02, San Diego County, California",5396,1311,06073010502
"Census Tract 105.02, Glenn County, California",1550,1311,06021010502
"Census Tract 105.02, Humboldt County, California",6418,1311,06023010502
"Census Tract 110, San Diego County, California",3817,2724,06073011000
"Census Tract 110, Humboldt County, California",4867,2724,06023011000
"Census Tract 110, Orange County, California",5977,2724,06059011000
"Census Tract 110, Monterey County, California",6028,2724,06053011000
"Census Tract 110, Imperial County, California",14064,2724,06025011000
"Census Tract 110, San Francisco County, California",4792,2724,06075011000
"Census Tract 120.02, San Diego County, California",3828,1,06073012002
"Census Tract 120.02, San Bernardino County, California",5668,1,06071012002
"Census Tract 120.02, Imperial County, California",11258,1,06025012002
"Census Tract 123.04, San Diego County, California",3548,14,06073012304
"Census Tract 123.04, San Luis Obispo County, California",11050,14,06079012304
"Census Tract 129, San Diego County, California",3154,21,06073012900
"Census Tract 129, San Luis Obispo County, California",4933,21,06079012900
"Census Tract 30.01, San Diego County, California",4692,40,06073003001
"Census Tract 30.01, Stanislaus County, California",9890,40,06099003001
"Census Tract 30.01, Tulare County, California",4661,40,06107003001
"Census Tract 30.01, Santa Barbara County, California",5820,40,06083003001
"Census Tract 30.01, Fresno County, California",3249,40,06019003001
"Census Tract 30.01, Butte County, California",2774,40,06007003001
"Census Tract 31.12, San Diego County, California",4680,1,06073003112
"Census Tract 31.12, Kern County, California",5035,1,06029003112
"Census Tract 31.12, San Joaquin County, California",3224,1,06077003112
"Census Tract 36.01, San Diego County, California",2877,35,06073003601
"Census Tract 36.01, San Joaquin County, California",3166,35,06077003601
"Census Tract 36.01, Tulare County, California",7302,35,06107003601
"Census Tract 39.01, San Diego County, California",4406,5,06073003901
"Census Tract 39.01, Tulare County, California",6680,5,06107003901
"Census Tract 45.01, San Diego County, California",2570,1,06073004501
"Census Tract 45.01, Sacramento County, California",3470,1,06067004501
"Census Tract 45.01, San Joaquin County, California",2467,1,06077004501
"Census Tract 46, San Diego County, California",1968,93,06073004600
"Census Tract 46, Ventura County, California",2241,93,06111004600
"Census Tract 46, San Joaquin County, California",6363,93,06077004600
"Census Tract 26.02, San Diego County, California",4444,3,06073002602
"Census Tract 26.02, Fresno County, California",3758,3,06019002602
"Census Tract 26.02, San Bernardino County, California",7427,3,06071002602
"Census Tract 26.02, Stanislaus County, California",5380,3,06099002602
"Census Tract 26.02, Tulare County, California",5780,3,06107002602
"Census Tract 26.02, Butte County, California",3451,3,06007002602
"Census Tract 32.04, San Diego County, California",3392,49,06073003204
"Census Tract 32.04, Kern County, California",11368,49,06029003204
"Census Tract 32.04, Sacramento County, California",5428,49,06067003204
"Census Tract 38, San Diego County, California",6252,7,06073003800
"Census Tract 38, Sacramento County, California",5615,7,06067003800
"Census Tract 44, San Diego County, California",4187,17,06073004400
"Census Tract 44, Tulare County, California",7607,17,06107004400
"Census Tract 44, Ventura County, California",8429,17,06111004400
"Census Tract 25.01, San Diego County, California",5583,2,06073002501
"Census Tract 25.01, Stanislaus County, California",6994,2,06099002501
"Census Tract 25.01, San Bernardino County, California",6867,2,06071002501
"Census Tract 25.01, Fresno County, California",5175,2,06019002501
"Census Tract 25.02, San Diego County, California",6538,25,06073002502
"Census Tract 25.02, Fresno County, California",4221,25,06019002502
"Census Tract 25.02, Santa Barbara County, California",7519,25,06083002502
"Census Tract 25.02, San Bernardino County, California",8969,25,06071002502
"Census Tract 31.03, San Diego County, California",6431,8,06073003103
"Census Tract 31.03, Kern County, California",3796,8,06029003103
"Census Tract 31.03, Fresno County, California",5262,8,06019003103
"Census Tract 20.01, San Diego County, California",3329,1,06073002001
"Census Tract 22.02, San Diego County, California",5473,27,06073002202
"Census Tract 22.02, Merced County, California",10184,27,06047002202
"Census Tract 22.02, Tulare County, California",6076,27,06107002202
"Census Tract 22.02, San Joaquin County, California",5392,27,06077002202
"Census Tract 24.02, San Diego County, California",5212,81,06073002402
"Census Tract 24.02, San Bernardino County, California",8337,81,06071002402
"Census Tract 24.02, Santa Barbara County, California",12788,81,06083002402
"Census Tract 24.02, San Joaquin County, California",1725,81,06077002402
"Census Tract 24.02, Stanislaus County, California",5783,81,06099002402
"Census Tract 24.02, Merced County, California",7688,81,06047002402
"Census Tract 26.01, San Diego County, California",5820,56,06073002601
"Census Tract 26.01, San Bernardino County, California",9458,56,06071002601
"Census Tract 26.01, Tulare County, California",4543,56,06107002601
"Census Tract 26.01, Butte County, California",2367,56,06007002601
"Census Tract 26.01, Fresno County, California",5248,56,06019002601
"Census Tract 29.05, San Diego County, California",4278,8,06073002905
"Census Tract 29.05, Fresno County, California",2978,8,06019002905
"Census Tract 29.05, Ventura County, California",5585,8,06111002905
"Census Tract 39.02, San Diego County, California",4055,20,06073003902
"Census Tract 39.02, Tulare County, California",5677,20,06107003902
"Census Tract 33.03, San Diego County, California",4847,5,06073003303
"Census Tract 33.03, Kern County, California",1411,5,06029003303
"Census Tract 53, San Diego County, California",5570,2,06073005300
"Census Tract 53, San Bernardino County, California",5116,2,06071005300
"Census Tract 53, Kern County, California",1876,2,06029005300
"Census Tract 1521, Sonoma County, California",3158,3,06097152100
"Census Tract 1524, Sonoma County, California",9433,159,06097152400
"Census Tract 1526, Sonoma County, California",8190,336,06097152600
"Census Tract 1537.06, Sonoma County, California",4638,4,06097153706
"Census Tract 1503.03, Sonoma County, California",4403,9,06097150303
"Census Tract 1513.09, Sonoma County, California",5147,3,06097151309
"Census Tract 1502.02, Sonoma County, California",4707,163,06097150202
"Census Tract 1515.03, Sonoma County, California",3351,63,06097151503
"Census Tract 1517, Sonoma County, California",7344,1,06097151700
"Census Tract 1527.02, Sonoma County, California",5644,23,06097152702
"Census Tract 1534.01, Sonoma County, California",6374,1,06097153401
"Census Tract 1530.06, Sonoma County, California",8204,1,06097153006
"Census Tract 4027, Alameda County, California",1842,1,06001402700
"Census Tract 4046, Alameda County, California",4688,4,06001404600
"Census Tract 4046, Los Angeles County, California",1405,4,06037404600
"Census Tract 106.06, Yolo County, California",7603,191,06113010606
"Census Tract 106.06, Monterey County, California",6387,191,06053010606
"Census Tract 107.04, Yolo County, California",2617,3,06113010704
"Census Tract 107.04, Shasta County, California",3904,3,06089010704
"Census Tract 110.01, Yolo County, California",7423,36,06113011001
"Census Tract 110.01, San Bernardino County, California",2189,36,06071011001
"Census Tract 110.01, Shasta County, California",1709,36,06089011001
"Census Tract 110.01, Mendocino County, California",2100,36,06045011001
"Census Tract 110.01, San Luis Obispo County, California",5132,36,06079011001
"Census Tract 106.02, Yolo County, California",6106,31,06113010602
"Census Tract 106.02, Shasta County, California",5579,31,06089010602
"Census Tract 106.02, San Luis Obispo County, California",3755,31,06079010602
"Census Tract 109.01, Yolo County, California",5467,1,06113010901
"Census Tract 109.01, San Luis Obispo County, California",10812,1,06079010901
"Census Tract 109.01, San Bernardino County, California",4281,1,06071010901
"Census Tract 109.01, Humboldt County, California",4704,1,06023010901
"Census Tract 112.04, Yolo County, California",5506,23,06113011204
"Census Tract 112.04, San Bernardino County, California",1516,23,06071011204
"Census Tract 112.04, Monterey County, California",3670,23,06053011204
"Census Tract 5, Humboldt County, California",4830,33214,06023000500
"Census Tract 5, Kings County, California",5165,33214,06031000500
"Census Tract 5, Siskiyou County, California",1909,33214,06093000500
"Census Tract 5, Ventura County, California",1648,33214,06111000500
"Census Tract 5, Colusa County, California",2564,33214,06011000500
"Census Tract 5, Sacramento County, California",3134,33214,06067000500
"Census Tract 5, Tehama County, California",5025,33214,06103000500
"Census Tract 5, San Diego County, California",3271,33214,06073000500
"Census Tract 5, Inyo County, California",2300,33214,06027000500
"Census Tract 5, San Joaquin County, California",2465,33214,06077000500
"Census Tract 5, Amador County, California",3029,33214,06005000500
"Census Tract 103, Humboldt County, California",3347,4869,06023010300
"Census Tract 103, Shasta County, California",4186,4869,06089010300
"Census Tract 103, Glenn County, California",2089,4869,06021010300
"Census Tract 103, Mendocino County, California",4042,4869,06045010300
"Census Tract 103, San Francisco County, California",4229,4869,06075010300
"Census Tract 103, Imperial County, California",1172,4869,06025010300
"Census Tract 103, San Luis Obispo County, California",9075,4869,06079010300
"Census Tract 103, San Bernardino County, California",3625,4869,06071010300
"Census Tract 103, San Diego County, California",4323,4869,06073010300
"Census Tract 106, Humboldt County, California",1893,169,06023010600
"Census Tract 106, Mendocino County, California",6417,169,06045010600
"Census Tract 106, Imperial County, California",6920,169,06025010600
"Census Tract 106, San Francisco County, California",3356,169,06075010600
"Census Tract 105.01, Humboldt County, California",7162,201,06023010501
"Census Tract 105.01, Glenn County, California",3684,201,06021010501
"Census Tract 105.01, Monterey County, California",6655,201,06053010501
"Census Tract 105.01, San Diego County, California",1471,201,06073010501
"Census Tract 105.01, Yolo County, California",8532,201,06113010501
"Census Tract 4512.02, Alameda County, California",4972,2,06001451202
"Census Tract 4415.03, Alameda County, California",6834,187,06001441503
"Census Tract 1527.01, Sonoma County, California",5363,136,06097152701
"Census Tract 1505, Sonoma County, California",4467,516,06097150500
"Census Tract 93.10, Sacramento County, California",7734,2,06067009310
"Census Tract 96.14, Sacramento County, California",7288,1,06067009614
"Census Tract 27, Sacramento County, California",3430,11003,06067002700
"Census Tract 27, Butte County, California",5516,11003,06007002700
"Census Tract 27, Tulare County, California",5164,11003,06107002700
"Census Tract 27, Ventura County, California",4249,11003,06111002700
"Census Tract 27, Kern County, California",6200,11003,06029002700
"Census Tract 94.03, Sacramento County, California",1913,35,06067009403
"Census Tract 26, Sacramento County, California",2714,28,06067002600
"Census Tract 26, Ventura County, California",3021,28,06111002600
"Census Tract 26, Kern County, California",3539,28,06029002600
"Census Tract 26, Merced County, California",5482,28,06047002600
"Census Tract 40.01, Sacramento County, California",5860,123,06067004001
"Census Tract 40.01, San Joaquin County, California",2069,123,06077004001
"Census Tract 40.01, San Bernardino County, California",4277,123,06071004001
"Census Tract 40.01, Fresno County, California",8184,123,06019004001
"Census Tract 41, Sacramento County, California",5162,116,06067004100
"Census Tract 41, Tuolumne County, California",5332,116,06109004100
"Census Tract 41, San Diego County, California",7371,116,06073004100
"Census Tract 41, Fresno County, California",3145,116,06019004100
"Census Tract 46.01, Sacramento County, California",7618,4,06067004601
"Census Tract 46.01, Kern County, California",4061,4,06029004601
"Census Tract 46.01, San Bernardino County, California",7511,4,06071004601
"Census Tract 46.01, Fresno County, California",3128,4,06019004601
"Census Tract 55.02, Sacramento County, California",5644,96,06067005502
"Census Tract 55.02, Ventura County, California",5231,96,06111005502
"Census Tract 55.02, San Joaquin County, California",1959,96,06077005502
"Census Tract 57.01, Sacramento County, California",3227,2,06067005701
"Census Tract 57.01, Fresno County, California",3601,2,06019005701
"Census Tract 57.01, San Bernardino County, California",1643,2,06071005701
"Census Tract 85.01, Sacramento County, California",6836,80,06067008501
"Census Tract 85.01, San Diego County, California",5866,80,06073008501
"Census Tract 85.01, Fresno County, California",4133,80,06019008501
"Census Tract 118, San Francisco County, California",1477,295,06075011800
"Census Tract 118, Mendocino County, California",2107,295,06045011800
"Census Tract 118, San Bernardino County, California",7568,295,06071011800
"Census Tract 118, San Luis Obispo County, California",7237,295,06079011800
"Census Tract 128, San Francisco County, California",4436,1,06075012800
"Census Tract 128, Monterey County, California",5123,1,06053012800
"Census Tract 128, San Diego County, California",4028,1,06073012800
"Census Tract 128, San Luis Obispo County, California",236,1,06079012800
"Census Tract 251, San Francisco County, California",3573,61,06075025100
"Census Tract 251, San Bernardino County, California",1342,61,06071025100
"Census Tract 45, Kern County, California",2841,619,06029004500
"Census Tract 45, Tulare County, California",6290,619,06107004500
"Census Tract 51.04, Kern County, California",4011,12,06029005104
"Census Tract 37, Kern County, California",3344,157,06029003700
"Census Tract 37, San Joaquin County, California",3099,157,06077003700
"Census Tract 37, Ventura County, California",6753,157,06111003700
"Census Tract 37, San Bernardino County, California",4010,157,06071003700
"Census Tract 37, Stanislaus County, California",4874,157,06099003700
"Census Tract 37, Sacramento County, California",4301,157,06067003700
"Census Tract 37, Tulare County, California",6432,157,06107003700
"Census Tract 37, Butte County, California",4746,157,06007003700
"Census Tract 44.02, Kern County, California",4856,1,06029004402
"Census Tract 44.02, San Joaquin County, California",5575,1,06077004402
"Census Tract 44.02, Sacramento County, California",4426,1,06067004402
"Census Tract 49.02, Kern County, California",8541,194,06029004902
"Census Tract 49.02, San Joaquin County, California",5895,194,06077004902
"Census Tract 49.02, Fresno County, California",2085,194,06019004902
"Census Tract 49.02, Ventura County, California",5069,194,06111004902
"Census Tract 32.02, Kern County, California",18201,8,06029003202
"Census Tract 32.02, Stanislaus County, California",17596,8,06099003202
"Census Tract 32.02, Sacramento County, California",5167,8,06067003202
"Census Tract 32.02, San Diego County, California",4563,8,06073003202
"Census Tract 32.02, Fresno County, California",5698,8,06019003202
"Census Tract 35, Kern County, California",7788,24,06029003500
"Census Tract 35, Stanislaus County, California",11685,24,06099003500
"Census Tract 35, San Joaquin County, California",23464,24,06077003500
"Census Tract 35, Fresno County, California",5382,24,06019003500
"Census Tract 42, Kern County, California",1393,11399,06029004200
"Census Tract 42, Ventura County, California",5498,11399,06111004200
"Census Tract 42, Tuolumne County, California",3290,11399,06109004200
"Census Tract 42, San Diego County, California",6180,11399,06073004200
"Census Tract 42, Tulare County, California",6643,11399,06107004200
"Census Tract 55.06, Kern County, California",5548,95,06029005506
"Census Tract 55.06, Sacramento County, California",3748,95,06067005506
"Census Tract 18.02, Orange County, California",7965,1,06059001802
"Census Tract 18.02, Kern County, California",5474,1,06029001802
"Census Tract 18.02, Monterey County, California",5439,1,06053001802
"Census Tract 112, Orange County, California",3969,108,06059011200
"Census Tract 112, Mendocino County, California",2863,108,06045011200
"Census Tract 112, San Francisco County, California",3459,108,06075011200
"Census Tract 112, San Luis Obispo County, California",8359,108,06079011200
"Census Tract 112, Humboldt County, California",3287,108,06023011200
"Census Tract 115.02, Orange County, California",4044,4748,06059011502
"Census Tract 115.02, Monterey County, California",1761,4748,06053011502
"Census Tract 13.04, Orange County, California",3982,13,06059001304
"Census Tract 13.04, Fresno County, California",5166,13,06019001304
"Census Tract 13.04, Santa Barbara County, California",8253,13,06083001304
"Census Tract 15.06, Orange County, California",4055,1,06059001506
"Census Tract 15.06, Ventura County, California",5347,1,06111001506
"Census Tract 115.03, Orange County, California",1836,2,06059011503
"Census Tract 115.03, San Luis Obispo County, California",3352,2,06079011503
"Census Tract 117.21, Orange County, California",5291,1,06059011721
"Census Tract 218.02, Orange County, California",7146,1,06059021802
"Census Tract 218.02, Placer County, California",6232,1,06061021802
"Census Tract 219.13, Orange County, California",7521,1,06059021913
"Census Tract 5036.01, Santa Clara County, California",3148,1,06085503601
"Census Tract 5036.01, Los Angeles County, California",4142,1,06037503601
"Census Tract 5043.08, Santa Clara County, California",4339,5,06085504308
"Census Tract 5046.02, Santa Clara County, California",2253,1145,06085504602
"Census Tract 5051, Santa Clara County, California",3985,2,06085505100
"Census Tract 6.04, Butte County, California",4396,1,06007000604
"Census Tract 6.04, Madera County, California",5693,1,06039000604
"Census Tract 6.04, San Bernardino County, California",5427,1,06071000604
"Census Tract 19, Butte County, California",3000,188,06007001900
"Census Tract 19, San Joaquin County, California",4969,188,06077001900
"Census Tract 19, Sacramento County, California",3044,188,06067001900
"Census Tract 19, San Diego County, California",3131,188,06073001900
"Census Tract 19, Ventura County, California",4325,188,06111001900
"Census Tract 19, Stanislaus County, California",4756,188,06099001900
"Census Tract 19, Fresno County, California",2787,188,06019001900
"Census Tract 2.01, Butte County, California",3982,539,06007000201
"Census Tract 2.01, San Bernardino County, California",5090,539,06071000201
"Census Tract 2.01, Del Norte County, California",6145,539,06015000201
"Census Tract 2.01, Plumas County, California",1341,539,06063000201
"Census Tract 2.01, Stanislaus County, California",5422,539,06099000201
"Census Tract 2.01, San Diego County, California",1915,539,06073000201
"Census Tract 2.01, Tulare County, California",8607,539,06107000201
"Census Tract 2.01, Madera County, California",8460,539,06039000201
"Census Tract 2.01, Merced County, California",3647,539,06047000201
"Census Tract 16, Butte County, California",4469,476,06007001600
"Census Tract 16, San Joaquin County, California",2260,476,06077001600
"Census Tract 16, Monterey County, California",2594,476,06053001600
"Census Tract 16, Kern County, California",1866,476,06029001600
"Census Tract 16, Fresno County, California",5296,476,06019001600
"Census Tract 16, San Bernardino County, California",5527,476,06071001600
"Census Tract 16, San Diego County, California",5272,476,06073001600
"Census Tract 16, Sacramento County, California",5978,476,06067001600
"Census Tract 32, Butte County, California",4204,3503,06007003200
"Census Tract 32, Tuolumne County, California",5709,3503,06109003200
"Census Tract 32, Tulare County, California",7420,3503,06107003200
"Census Tract 32, San Bernardino County, California",8205,3503,06071003200
"Census Tract 33, Butte County, California",4297,717,06007003300
"Census Tract 33, Ventura County, California",9437,717,06111003300
"Census Tract 33, Stanislaus County, California",5650,717,06099003300
"Census Tract 33, Tulare County, California",7848,717,06107003300
"Census Tract 33, Sacramento County, California",4458,717,06067003300
"Census Tract 5.01, Butte County, California",4296,2438,06007000501
"Census Tract 5.01, Stanislaus County, California",7706,2438,06099000501
"Census Tract 5.01, Nevada County, California",5630,2438,06057000501
"Census Tract 5.01, Santa Barbara County, California",3647,2438,06083000501
"Census Tract 5.01, Lake County, California",3036,2438,06033000501
"Census Tract 5.01, Fresno County, California",2455,2438,06019000501
"Census Tract 5.01, Tulare County, California",6845,2438,06107000501
"Census Tract 5.01, Plumas County, California",2116,2438,06063000501
"Census Tract 5.01, San Bernardino County, California",6087,2438,06071000501
"Census Tract 5.01, Calaveras County, California",3096,2438,06009000501
"Census Tract 5.01, San Benito County, California",6124,2438,06069000501
"Census Tract 5.01, Monterey County, California",4349,2438,06053000501
"Census Tract 24, Butte County, California",4725,3769,06007002400
"Census Tract 24, Kern County, California",8358,3769,06029002400
"Census Tract 24, Sacramento County, California",4685,3769,06067002400
"Census Tract 24, Ventura County, California",2688,3769,06111002400
"Census Tract 24, Tulare County, California",13918,3769,06107002400
"Census Tract 24, Fresno County, California",4215,3769,06019002400
"Census Tract 4.03, Kings County, California",5170,2,06031000403
"Census Tract 4.03, Stanislaus County, California",4198,2,06099000403
"Census Tract 4.03, San Bernardino County, California",4444,2,06071000403
"Census Tract 7.02, Kings County, California",4422,281,06031000702
"Census Tract 7.02, Siskiyou County, California",4438,281,06093000702
"Census Tract 7.02, Tulare County, California",5839,281,06107000702
"Census Tract 7.02, Merced County, California",5278,281,06047000702
"Census Tract 7.02, Nevada County, California",4225,281,06057000702
"Census Tract 7.02, Lake County, California",3939,281,06033000702
"Census Tract 7.02, San Benito County, California",5128,281,06069000702
"Census Tract 7.02, Ventura County, California",3445,281,06111000702
"Census Tract 7.02, Monterey County, California",5996,281,06053000702
"Census Tract 7.01, Kings County, California",5763,302,06031000701
"Census Tract 7.01, Siskiyou County, California",3786,302,06093000701
"Census Tract 7.01, Merced County, California",3254,302,06047000701
"Census Tract 7.01, Nevada County, California",7268,302,06057000701
"Census Tract 7.01, Tulare County, California",2547,302,06107000701
"Census Tract 7.01, Lake County, California",4237,302,06033000701
"Census Tract 7.01, San Benito County, California",4130,302,06069000701
"Census Tract 7.01, Ventura County, California",7619,302,06111000701
"Census Tract 7.01, Monterey County, California",6062,302,06053000701
"Census Tract 17.01, Kings County, California",9591,268,06031001701
"Census Tract 17.01, Tulare County, California",6769,268,06107001701
"Census Tract 4.04, Kings County, California",10069,2,06031000404
"Census Tract 4.04, Stanislaus County, California",5895,2,06099000404
"Census Tract 4.04, San Bernardino County, California",3949,2,06071000404
"Census Tract 11.01, Orange County, California",5073,6,06059001101
"Census Tract 11.01, Kern County, California",6210,6,06029001101
"Census Tract 11.01, Ventura County, California",5019,6,06111001101
"Census Tract 11.01, Merced County, California",5805,6,06047001101
"Census Tract 11.01, Santa Barbara County, California",5244,6,06083001101
"Census Tract 11.01, San Joaquin County, California",5280,6,06077001101
"Census Tract 11.01, Sacramento County, California",2366,6,06067001101
"Census Tract 11.01, Humboldt County, California",7250,6,06023001101
"Census Tract 11.01, San Bernardino County, California",4232,6,06071001101
"Census Tract 638.03, Orange County, California",4607,2,06059063803
"Census Tract 40, Ventura County, California",7428,172,06111004000
"Census Tract 40, San Diego County, California",4828,172,06073004000
"Census Tract 40, Kern County, California",8676,172,06029004000
"Census Tract 40, Tulare County, California",598,172,06107004000
"Census Tract 40, Stanislaus County, California",3811,172,06099004000
"Census Tract 5436.04, Los Angeles County, California",5395,20,06037543604
"Census Tract 5300.03, Los Angeles County, California",3087,1,06037530003
"Census Tract 3101, Los Angeles County, California",5766,66,06037310100
"Census Tract 3104, Los Angeles County, California",3192,6,06037310400
"Census Tract 9108.07, Los Angeles County, California",6245,3,06037910807
"Census Tract 9108.10, Los Angeles County, California",2631,74,06037910810
"Census Tract 9200.42, Los Angeles County, California",7527,5,06037920042
"Census Tract 9201.07, Los Angeles County, California",5752,11,06037920107
"Census Tract 5516, Los Angeles County, California",31,1,06037551600
"Census Tract 9009, Los Angeles County, California",3985,30,06037900900
"Census Tract 9107.07, Los Angeles County, California",4940,3,06037910707
"Census Tract 5121, Santa Clara County, California",1504,15,06085512100
"Census Tract 5124.01, Santa Clara County, California",4782,9,06085512401
"Census Tract 5016, Santa Clara County, California",7597,1,06085501600
"Census Tract 5016, Los Angeles County, California",7603,1,06037501600
"Census Tract 5046.01, Santa Clara County, California",1025,14,06085504601
"Census Tract 5114, Santa Clara County, California",3506,1,06085511400
"Census Tract 5099.02, Santa Clara County, California",5195,1,06085509902
"Census Tract 5120.27, Santa Clara County, California",4813,2,06085512027
"Census Tract 220.02, Placer County, California",6731,4,06061022002
"Census Tract 201.04, Placer County, California",803,7,06061020104
"Census Tract 206.02, Placer County, California",8183,2,06061020602
"Census Tract 206.02, San Diego County, California",6329,2,06073020602
"Census Tract 213.04, Placer County, California",5521,66,06061021304
"Census Tract 213.04, San Diego County, California",2571,66,06073021304
"Census Tract 201.06, Placer County, California",1404,5,06061020106
"Census Tract 201.06, San Diego County, California",3816,5,06073020106
"Census Tract 101, Shasta County, California",1494,2871,06089010100
"Census Tract 101, Glenn County, California",8460,2871,06021010100
"Census Tract 101, Mendocino County, California",2644,2871,06045010100
"Census Tract 101, San Francisco County, California",3850,2871,06075010100
"Census Tract 218.15, Orange County, California",10996,250,06059021815
"Census Tract 219.17, Orange County, California",3190,25,06059021917
"Census Tract 219.24, Orange County, California",4368,74,06059021924
"Census Tract 320.11, Orange County, California",1675,69,06059032011
"Census Tract 423.15, Orange County, California",5785,2,06059042315
"Census Tract 626.04, Orange County, California",15525,6,06059062604
"Census Tract 21.02, Ventura County, California",1591,10,06111002102
"Census Tract 21.02, Santa Barbara County, California",2243,10,06083002102
"Census Tract 23, Ventura County, California",7011,245,06111002300
"Census Tract 23, Butte County, California",5051,245,06007002300
"Census Tract 23, Sacramento County, California",3342,245,06067002300
"Census Tract 23, San Joaquin County, California",4632,245,06077002300
"Census Tract 23, Fresno County, California",3585,245,06019002300
"Census Tract 104.16, San Bernardino County, California",3102,5,06071010416
"Census Tract 108.02, San Bernardino County, California",4682,863,06071010802
"Census Tract 108.02, Mendocino County, California",1974,863,06045010802
"Census Tract 9401, San Bernardino County, California",1306,22,06071940100
"Census Tract 9401, Riverside County, California",166,22,06065940100
"Census Tract 1.08, San Bernardino County, California",5783,101,06071000108
"Census Tract 1.08, Madera County, California",6711,101,06039000108
"Census Tract 5.03, Kern County, California",8212,345,06029000503
"Census Tract 5.03, Stanislaus County, California",5109,345,06099000503
"Census Tract 5.03, Madera County, California",9261,345,06039000503
"Census Tract 5.03, Merced County, California",3149,345,06047000503
"Census Tract 5.03, San Bernardino County, California",4279,345,06071000503
"Census Tract 5.03, Calaveras County, California",1582,345,06009000503
"Census Tract 5.07, Kern County, California",3651,122,06029000507
"Census Tract 5.07, Madera County, California",10845,122,06039000507
"Census Tract 6138, San Mateo County, California",3952,38,06081613800
"Census Tract 6025, San Mateo County, California",5407,1,06081602500
"Census Tract 403.02, Riverside County, California",7664,148,06065040302
"Census Tract 403.02, Lassen County, California",4113,148,06035040302
"Census Tract 403.02, Yuba County, California",2315,148,06115040302
"Census Tract 408.06, Riverside County, California",3043,2,06065040806
"Census Tract 417.03, Riverside County, California",6221,1,06065041703
"Census Tract 430.05, Riverside County, California",5724,3,06065043005
"Census Tract 432.22, Riverside County, California",4899,2,06065043222
"Census Tract 435.09, Riverside County, California",5426,3,06065043509
"Census Tract 455.01, Riverside County, California",5740,1,06065045501
"Census Tract 34, Butte County, California",3298,356,06007003400
"Census Tract 34, Stanislaus County, California",1742,356,06099003400
"Census Tract 34, Fresno County, California",5161,356,06019003400
"Census Tract 34, Tulare County, California",6832,356,06107003400
"Census Tract 34, Sacramento County, California",4119,356,06067003400
"Census Tract 34, Kern County, California",4374,356,06029003400
"Census Tract 4087.03, Los Angeles County, California",6525,1,06037408703
"Census Tract 3005.02, Los Angeles County, California",5763,1,06037300502
"Census Tract 1094, Los Angeles County, California",3959,1,06037109400
"Census Tract 1200.30, Los Angeles County, California",2683,1,06037120030
"Census Tract 1202, Santa Cruz County, California",4576,13,06087120200
"Census Tract 1233, Santa Cruz County, California",1587,18,06087123300
"Census Tract 1105.02, Santa Cruz County, California",6162,1,06087110502
"Census Tract 1208, Santa Cruz County, California",5608,2,06087120800
"Census Tract 1211, Santa Cruz County, California",3342,1,06087121100
"Census Tract 1211, Marin County, California",5497,1,06041121100
"Census Tract 1225, Santa Cruz County, California",6843,6,06087122500
"Census Tract 1224, Santa Cruz County, California",7327,13,06087122400
"Census Tract 1207, Santa Cruz County, California",4181,12,06087120700
