NAME,pop,state,county,tract,geoid
"Census Tract 5359.02, Los Angeles County, California",7262,06,037,535902,06037535902
"Census Tract 5401.02, Los Angeles County, California",6818,06,037,540102,06037540102
"Census Tract 5405.02, Los Angeles County, California",6286,06,037,540502,06037540502
"Census Tract 5413, Los Angeles County, California",5715,06,037,541300,06037541300
"Census Tract 5414, Los Angeles County, California",7587,06,037,541400,06037541400
"Census Tract 5081.01, Santa Clara County, California",6918,06,085,508101,06085508101
"Census Tract 5092.02, Santa Clara County, California",4863,06,085,509202,06085509202
"Census Tract 5093.04, Santa Clara County, California",3517,06,085,509304,06085509304
"Census Tract 5094.01, Santa Clara County, California",3841,06,085,509401,06085509401
"Census Tract 5098.01, Santa Clara County, California",5535,06,085,509801,06085509801
"Census Tract 5123.07, Santa Clara County, California",7005,06,085,512307,06085512307
"Census Tract 5032.04, Santa Clara County, California",8414,06,085,503204,06085503204
"Census Tract 5032.10, Santa Clara County, California",4400,06,085,503210,06085503210
"Census Tract 5034.01, Santa Clara County, California",4855,06,085,503401,06085503401
"Census Tract 5035.07, Santa Clara County, California",2467,06,085,503507,06085503507
"Census Tract 5120.19, Santa Clara County, California",5155,06,085,512019,06085512019
"Census Tract 5120.20, Santa Clara County, California",7751,06,085,512020,06085512020
"Census Tract 5120.24, Santa Clara County, California",5045,06,085,512024,06085512024
"Census Tract 5124.02, Santa Clara County, California",4966,06,085,512402,06085512402
"Census Tract 104, Shasta County, California",4205,06,089,010400,06089010400
"Census Tract 111, Shasta County, California",3126,06,089,011100,06089011100
"Census Tract 122, Shasta County, California",5937,06,089,012200,06089012200
"Census Tract 126.01, Shasta County, California",4970,06,089,012601,06089012601
"Census Tract 127.02, Shasta County, California",2731,06,089,012702,06089012702
"Census Tract 105, Shasta County, California",5607,06,089,010500,06089010500
"Census Tract 116, Shasta County, California",3833,06,089,011600,06089011600
"Census Tract 119, Shasta County, California",4381,06,089,011900,06089011900
"Census Tract 123.01, Shasta County, California",2649,06,089,012301,06089012301
"Census Tract 123.02, Shasta County, California",5361,06,089,012302,06089012302
"Census Tract 109, Shasta County, California",4236,06,089,010900,06089010900
"Census Tract 123.03, Shasta County, California",3915,06,089,012303,06089012303
"Census Tract 124, Shasta County, California",3810,06,089,012400,06089012400
"Census Tract 113, Shasta County, California",4873,06,089,011300,06089011300
"Census Tract 125, Shasta County, California",1623,06,089,012500,06089012500
"Census Tract 120, Shasta County, California",4671,06,089,012000,06089012000
"Census Tract 127.01, Shasta County, California",4929,06,089,012701,06089012701
"Census Tract 107.02, Shasta County, California",3618,06,089,010702,06089010702
"Census Tract 102, Shasta County, California",2464,06,089,010200,06089010200
"Census Tract 115, Shasta County, California",5609,06,089,011500,06089011500
"Census Tract 2505.01, Solano County, California",2150,06,095,250501,06095250501
"Census Tract 2506.01, Solano County, California",5571,06,095,250601,06095250601
"Census Tract 2518.02, Solano County, California",2446,06,095,251802,06095251802
"Census Tract 2527.05, Solano County, California",6379,06,095,252705,06095252705
"Census Tract 626.44, Orange County, California",8856,06,059,062644,06059062644
"Census Tract 2521.08, Solano County, California",3115,06,095,252108,06095252108
"Census Tract 2531.06, Solano County, California",3685,06,095,253106,06095253106
"Census Tract 626.40, Orange County, California",3703,06,059,062640,06059062640
"Census Tract 630.08, Orange County, California",867,06,059,063008,06059063008
"Census Tract 631.03, Orange County, California",2709,06,059,063103,06059063103
"Census Tract 637.01, Orange County, California",5951,06,059,063701,06059063701
"Census Tract 639.03, Orange County, California",3977,06,059,063903,06059063903
"Census Tract 639.05, Orange County, California",4158,06,059,063905,06059063905
"Census Tract 740.04, Orange County, California",7666,06,059,074004,06059074004
"Census Tract 745.02, Orange County, California",5593,06,059,074502,06059074502
"Census Tract 750.02, Orange County, California",7867,06,059,075002,06059075002
"Census Tract 752.01, Orange County, California",6547,06,059,075201,06059075201
"Census Tract 753.02, Orange County, California",5064,06,059,075302,06059075302
"Census Tract 20, Sacramento County, California",2764,06,067,002000,06067002000
"Census Tract 25, Sacramento County, California",1551,06,067,002500,06067002500
"Census Tract 36, Sacramento County, California",2821,06,067,003600,06067003600
"Census Tract 40.04, Sacramento County, California",6172,06,067,004004,06067004004
"Census Tract 40.08, Sacramento County, California",3787,06,067,004008,06067004008
"Census Tract 40.09, Sacramento County, California",4698,06,067,004009,06067004009
"Census Tract 51.01, Sacramento County, California",4107,06,067,005101,06067005101
"Census Tract 54.04, Sacramento County, California",5496,06,067,005404,06067005404
"Census Tract 76.01, Sacramento County, California",6699,06,067,007601,06067007601
"Census Tract 64, Sacramento County, California",5686,06,067,006400,06067006400
"Census Tract 66, Sacramento County, California",7248,06,067,006600,06067006600
"Census Tract 74.17, Sacramento County, California",3254,06,067,007417,06067007417
"Census Tract 80.07, Sacramento County, California",3381,06,067,008007,06067008007
"Census Tract 80.09, Sacramento County, California",4472,06,067,008009,06067008009
"Census Tract 81.20, Sacramento County, California",4773,06,067,008120,06067008120
"Census Tract 81.27, Sacramento County, California",5164,06,067,008127,06067008127
"Census Tract 81.32, Sacramento County, California",3879,06,067,008132,06067008132
"Census Tract 81.45, Sacramento County, California",7461,06,067,008145,06067008145
"Census Tract 82.03, Sacramento County, California",4743,06,067,008203,06067008203
"Census Tract 72.02, Sacramento County, California",4120,06,067,007202,06067007202
"Census Tract 72.08, Sacramento County, California",4650,06,067,007208,06067007208
"Census Tract 74.14, Sacramento County, California",4330,06,067,007414,06067007414
"Census Tract 74.15, Sacramento County, California",3384,06,067,007415,06067007415
"Census Tract 79.03, Sacramento County, California",4990,06,067,007903,06067007903
"Census Tract 80.06, Sacramento County, California",5376,06,067,008006,06067008006
"Census Tract 117, Monterey County, California",3830,06,053,011700,06053011700
"Census Tract 136, Monterey County, California",4762,06,053,013600,06053013600
"Census Tract 137, Monterey County, California",4472,06,053,013700,06053013700
"Census Tract 138, Monterey County, California",6080,06,053,013800,06053013800
"Census Tract 101.02, Monterey County, California",3615,06,053,010102,06053010102
